pairID,b1 biomass,b2 biomass,crossfed mets,runtime (min),converged
12__78,0.08388287236286834,0.026373164925220117,"{'b1_EX_2dmmq8(e)': [-0.03531463547338942, 5551, 9989, ['1', '0']], 'b1_EX_ade(e)': [0.06982846855517688, 3634, 3637, ['0', '1']], 'b1_EX_btn(e)': [-0.05844141088809102, 5949, 10000, ['1', '0']], 'b1_EX_csn(e)': [-0.905102525804062, 9921, 9921, ['0', '1']], 'b1_EX_gua(e)': [-0.5037618254539535, 9687, 9687, ['0', '1']], 'b1_EX_mqn8(e)': [-0.07325850640715359, 5761, 9996, ['0', '1']], 'b1_EX_nac(e)': [-0.023963986813806792, 5252, 8790, ['0', '1']], 'b1_EX_phe_L(e)': [0.1877695448458292, 3568, 7021, ['1', '0']], 'b1_EX_ptrc(e)': [0.0051244986024395756, 4955, 8007, ['0', '1']], 'b1_EX_pydam(e)': [-0.09613775538292452, 6226, 10000, ['0', '1']], 'b1_EX_pydx(e)': [-0.06887304419522655, 5870, 9992, ['0', '1']], 'b1_EX_pydxn(e)': [-0.09671449151333644, 6231, 10000, ['0', '1']], 'b1_EX_q8(e)': [-0.07852694107698821, 6016, 9987, ['0', '1']], 'b1_EX_ribflv(e)': [-0.066289354108789, 5913, 9983, ['0', '1']], 'b1_EX_sheme(e)': [-0.058981630306520594, 5671, 9993, ['0', '1']], 'b1_EX_spmd(e)': [-0.0553334533151042, 5735, 9984, ['0', '1']], 'b1_EX_thm(e)': [-0.07075966374409243, 5937, 9989, ['0', '1']], 'b1_EX_thymd(e)': [0.11632979323982534, 4111, 7482, ['0', '1']], 'b1_EX_xan(e)': [-0.28871816528085764, 6631, 7986, ['0', '1']]}",1.2824156324068705,True
12__104,0.07988515060226778,0.04531164321641958,"{'b1_EX_ac(e)': [5.097738960038344, 487, 502, ['0', '1']], 'b1_EX_btn(e)': [-0.10697775659638642, 6411, 10000, ['0', '1']], 'b1_EX_fol(e)': [-0.0928725744613913, 6400, 9716, ['0', '1']], 'b1_EX_for(e)': [7.911201031412544, 190, 254, ['0', '1']], 'b1_EX_mqn7(e)': [-0.057709894308320187, 5909, 9998, ['0', '1']], 'b1_EX_nac(e)': [-0.019628930390016952, 5267, 8804, ['0', '1']], 'b1_EX_phe_L(e)': [0.5484793801259651, 1874, 3516, ['1', '0']], 'b1_EX_pnto_R(e)': [-0.08092491665980284, 5953, 9988, ['0', '1']], 'b1_EX_pydam(e)': [-0.07568912056187693, 6155, 10000, ['0', '1']], 'b1_EX_pydx(e)': [-0.09138255873300383, 6075, 9987, ['0', '1']], 'b1_EX_pydxn(e)': [-0.07856221224737803, 6257, 10000, ['0', '1']], 'b1_EX_ribflv(e)': [-0.09401819665476835, 6229, 9978, ['0', '1']], 'b1_EX_thm(e)': [-0.10070659471334314, 6245, 9992, ['0', '1']], 'b1_EX_xan(e)': [-0.7431324601460771, 9951, 9951, ['0', '1']]}",1.312074029445648,True
12__118,0.07546560761005192,0.06083103404679216,"{'b1_EX_2dmmq8(e)': [-0.26937526801274064, 8340, 9990, ['1', '0']], 'b1_EX_ade(e)': [0.10552659135236087, 3290, 3307, ['0', '1']], 'b1_EX_btn(e)': [-0.23071104430187767, 8084, 10000, ['1', '0']], 'b1_EX_fol(e)': [-0.20980077954420184, 7906, 9965, ['1', '0']], 'b1_EX_for(e)': [1.9134219732704099, 1526, 1614, ['0', '1']], 'b1_EX_gua(e)': [-0.47808097500699315, 9813, 9813, ['0', '1']], 'b1_EX_lys_L(e)': [0.44377707042284553, 391, 730, ['1', '0']], 'b1_EX_mqn8(e)': [-0.13829024192305567, 6913, 9985, ['1', '0']], 'b1_EX_nac(e)': [-0.07841841791771781, 5998, 8122, ['1', '0']], 'b1_EX_nmn(e)': [-0.20113775478381363, 6057, 8075, ['1', '0']], 'b1_EX_phe_L(e)': [-0.16703746035921846, 7034, 9641, ['1', '0']], 'b1_EX_pnto_R(e)': [-0.12872075432463542, 6958, 9965, ['1', '0']], 'b1_EX_ptrc(e)': [-0.035377418704703345, 5446, 7773, ['1', '0']], 'b1_EX_pydam(e)': [-0.09673599835515345, 6595, 10000, ['1', '0']], 'b1_EX_pydx(e)': [-0.09849226873902817, 6525, 9983, ['1', '0']], 'b1_EX_pydxn(e)': [-0.045038465217127344, 5656, 10000, ['1', '0']], 'b1_EX_q8(e)': [-0.05003172968201852, 5852, 9978, ['1', '0']], 'b1_EX_sheme(e)': [-0.08620517887646084, 6460, 9982, ['1', '0']], 'b1_EX_spmd(e)': [-0.040359010461815975, 5661, 9985, ['1', '0']], 'b1_EX_thm(e)': [-0.0467915858125752, 5810, 9984, ['1', '0']], 'b1_EX_thymd(e)': [0.13249740621096218, 3959, 6561, ['1', '0']], 'b1_EX_ura(e)': [-0.7375024773580835, 9849, 9868, ['0', '1']]}",1.3595189015070597,True
12__119,0.06698934765113171,0.03106593089902061,"{'b1_EX_26dap_M(e)': [-0.5251703083639391, 5886, 5890, ['0', '1']], 'b1_EX_btn(e)': [-0.16404026624778667, 7437, 10000, ['1', '0']], 'b1_EX_csn(e)': [-0.8962551044503306, 9928, 9929, ['0', '1']], 'b1_EX_fol(e)': [-0.1187545815284593, 7041, 9961, ['1', '0']], 'b1_EX_gua(e)': [-0.6237668669794796, 9708, 9766, ['0', '1']], 'b1_EX_leu_L(e)': [0.05834776467969115, 3159, 6263, ['1', '0']], 'b1_EX_mqn7(e)': [-0.04398688687214514, 5617, 9992, ['1', '0']], 'b1_EX_nac(e)': [-0.019985779164197526, 5323, 8716, ['1', '0']], 'b1_EX_phe_L(e)': [-0.07363731581697458, 6058, 9677, ['1', '0']], 'b1_EX_ptrc(e)': [0.023176961159995124, 4745, 8132, ['1', '0']], 'b1_EX_pydam(e)': [-0.06016713677630603, 5897, 10000, ['1', '0']], 'b1_EX_pydx(e)': [-0.08417698505191268, 6369, 9986, ['1', '0']], 'b1_EX_pydxn(e)': [-0.04490519965890427, 5575, 10000, ['1', '0']], 'b1_EX_q8(e)': [-0.037551806650146624, 5486, 9992, ['1', '0']], 'b1_EX_ribflv(e)': [-0.05124128283192586, 5806, 9965, ['1', '0']], 'b1_EX_sheme(e)': [-0.08416300881045047, 6273, 9993, ['1', '0']], 'b1_EX_spmd(e)': [-0.03568361221058508, 5571, 9988, ['1', '0']], 'b1_EX_thm(e)': [-0.06735326256099311, 6050, 9986, ['1', '0']], 'b1_EX_ura(e)': [-0.3155078170147821, 7819, 8072, ['0', '1']], 'b1_EX_val_L(e)': [-0.058252768238436704, 6039, 8210, ['0', '1']], 'b1_EX_xan(e)': [-0.8584227071252777, 9890, 9919, ['0', '1']]}",1.3479018568992616,True
12__123,0.052868348525196854,0.003942206425201172,"{'b1_EX_ac(e)': [0.24291805588680787, 3985, 3993, ['0', '1']], 'b1_EX_ile_L(e)': [0.015476697531945943, 4245, 6652, ['1', '0']], 'b1_EX_lys_L(e)': [0.05489838383611587, 3470, 4610, ['0', '1']], 'b1_EX_mqn7(e)': [-0.00902860511786202, 5156, 9997, ['0', '1']], 'b1_EX_nac(e)': [-0.0413559692111537, 5578, 9419, ['0', '1']], 'b1_EX_pydx(e)': [-0.07176865399429727, 5861, 9994, ['0', '1']], 'b1_EX_spmd(e)': [-0.07387012198315634, 5903, 9993, ['0', '1']], 'b1_EX_thm(e)': [-0.06984516919548145, 5973, 9996, ['0', '1']]}",0.9806083559989929,True
12__129,0.061413540589494484,0.011709694163487182,"{'b1_EX_26dap_M(e)': [-0.3646218002231695, 3895, 4431, ['0', '1']], 'b1_EX_ac(e)': [4.036813273729916, 523, 545, ['0', '1']], 'b1_EX_ade(e)': [0.3600876007366811, 1577, 1790, ['0', '1']], 'b1_EX_btn(e)': [-0.09550167978200669, 6139, 10000, ['1', '0']], 'b1_EX_csn(e)': [-0.2653083691017007, 7162, 7301, ['0', '1']], 'b1_EX_cys_L(e)': [-0.339871968422152, 8343, 8387, ['0', '1']], 'b1_EX_for(e)': [2.4254435626246185, 1059, 1109, ['0', '1']], 'b1_EX_leu_L(e)': [0.012617422470129938, 3767, 7126, ['1', '0']], 'b1_EX_nac(e)': [0.0006906218019392396, 4991, 9229, ['1', '0']], 'b1_EX_nmn(e)': [-0.037760421328709215, 4507, 8854, ['1', '0']], 'b1_EX_phe_L(e)': [0.5149727487006577, 1750, 2686, ['1', '0']], 'b1_EX_pnto_R(e)': [-0.04149020771230283, 5590, 9982, ['1', '0']], 'b1_EX_ptrc(e)': [0.1593077887025935, 3768, 7387, ['1', '0']], 'b1_EX_pydx(e)': [-0.05369114484488685, 5635, 9990, ['1', '0']], 'b1_EX_ribflv(e)': [-0.03105129080967295, 5464, 9974, ['1', '0']], 'b1_EX_val_L(e)': [-0.026131548321089007, 5661, 7529, ['0', '1']]}",1.396201201279958,True
12__131,0.1136949392136539,0.15401366298893715,"{'b1_EX_btn(e)': [-0.1036709584908358, 6524, 10000, ['0', '1']], 'b1_EX_cys_L(e)': [-0.560015641735877, 9635, 9710, ['0', '1']], 'b1_EX_fol(e)': [-0.1219648692485833, 6644, 9858, ['0', '1']], 'b1_EX_for(e)': [3.186558706035253, 1382, 1722, ['1', '0']], 'b1_EX_nac(e)': [-0.04797969909538652, 5550, 8644, ['0', '1']], 'b1_EX_phe_L(e)': [0.1905527039186043, 3549, 5814, ['1', '0']], 'b1_EX_pnto_R(e)': [-0.04139749971247242, 5429, 9883, ['0', '1']], 'b1_EX_pydam(e)': [-0.07566735298863808, 6024, 10000, ['0', '1']], 'b1_EX_pydx(e)': [-0.05004611278628568, 5590, 9947, ['0', '1']], 'b1_EX_pydxn(e)': [-0.012052139809549667, 5172, 10000, ['0', '1']], 'b1_EX_ribflv(e)': [-0.01633055974948583, 5092, 9859, ['0', '1']], 'b1_EX_thm(e)': [-0.007854161924948366, 5101, 9990, ['1', '0']]}",1.7911455988883973,True
12__141,0.3335974912981564,0.11233485584206293,"{'b1_EX_btn(e)': [-0.12804953848528677, 6608, 8823, ['0', '1']], 'b1_EX_ptrc(e)': [-0.037153291833663005, 5445, 8906, ['1', '0']], 'b1_EX_pydam(e)': [-0.0488950446491514, 5663, 9999, ['1', '0']], 'b1_EX_pydx(e)': [-0.08530162453340273, 6099, 9998, ['1', '0']], 'b1_EX_pydxn(e)': [-0.0916467822669611, 6126, 9992, ['1', '0']], 'b1_EX_spmd(e)': [-0.0941244494838197, 6117, 9971, ['1', '0']]}",2.337549555301666,True
12__143,0.07383713493679409,0.04281287033560466,"{'b1_EX_26dap_M(e)': [-0.7814867325327612, 9434, 9434, ['0', '1']], 'b1_EX_btn(e)': [-0.026086898713950146, 5383, 10000, ['1', '0']], 'b1_EX_cys_L(e)': [-0.5484302656334636, 9635, 9635, ['0', '1']], 'b1_EX_metsox_S_L(e)': [-0.8864041547130526, 9893, 9893, ['0', '1']], 'b1_EX_mqn7(e)': [-0.002134556317266778, 5012, 9986, ['0', '1']], 'b1_EX_nac(e)': [0.03377807375252384, 4543, 8951, ['1', '0']], 'b1_EX_phe_L(e)': [-0.11691665319541955, 6519, 9578, ['1', '0']], 'b1_EX_pnto_R(e)': [-0.035769714766709926, 5512, 9978, ['1', '0']], 'b1_EX_ptrc(e)': [0.14594377617212173, 3425, 6688, ['1', '0']], 'b1_EX_ribflv(e)': [-0.025324948981739537, 5326, 9970, ['0', '1']], 'b1_EX_spmd(e)': [-0.027640537661867137, 5343, 9987, ['0', '1']], 'b1_EX_thm(e)': [-0.027185919484980614, 5311, 9988, ['0', '1']]}",1.771820640563965,True
12__150,0.09434878110004166,0.02515977217430305,"{'b1_EX_btn(e)': [-0.19973878254564564, 7210, 9119, ['1', '0']], 'b1_EX_cys_L(e)': [-0.7528367385424686, 9904, 9904, ['0', '1']], 'b1_EX_fol(e)': [-0.06499101279295655, 5882, 9959, ['1', '0']], 'b1_EX_lys_L(e)': [0.10183987629177485, 2546, 4492, ['0', '1']], 'b1_EX_mqn7(e)': [-0.02821871106972662, 5351, 9991, ['1', '0']], 'b1_EX_nac(e)': [0.1848397934644318, 3507, 6076, ['1', '0']], 'b1_EX_nmn(e)': [-0.8127101917074622, 9403, 9474, ['1', '0']], 'b1_EX_pnto_R(e)': [-0.09073633913215429, 6285, 9979, ['1', '0']], 'b1_EX_ptrc(e)': [0.04083054477466447, 4445, 7833, ['1', '0']], 'b1_EX_pydx(e)': [-0.0264033099193125, 5347, 9991, ['1', '0']], 'b1_EX_ribflv(e)': [0.002312872910226804, 4960, 9555, ['1', '0']], 'b1_EX_spmd(e)': [-0.039057502466581684, 5532, 9987, ['1', '0']], 'b1_EX_ura(e)': [-0.7588545460530681, 9826, 9903, ['0', '1']]}",1.132051940759023,True
